ra,dec,umag,eu,bmag,eb,vmag,ev,gmag,eg,rmag,er,imag,ei,zmag,ez,kmag,ek,zp_best,zl68_gal,zu68_gal,Origin,SpecRA,SpecDEC,z_spec,Q_f,SpecOrigin,Outlier,I_FWHMArea,Z_FWHMArea,R_FWHMArea,G_FWHMArea
149.4719,1.875656,23.8005,0.0386,23.4109,0.0333,23.3838,0.0288,23.6042,0.0319,23.1636,0.0256,22.818,0.0225,22.2748,0.0218,21.1038,0.2248,1.46,1.23,1.5,Cosmos2006,149.4719143,1.875659685,1.2613,3.0,publicSpecZ,0,38,43.0,41.0,43.0
149.4725,2.053468,23.6071,0.0326,23.229,0.0305,22.9624,0.0233,23.3375,0.0281,22.7409,0.0208,22.5688,0.0196,22.4473,0.0239,21.7939,0.4320000000000001,0.42,0.41,0.5,Cosmos2006,149.472504,2.0534380000000003,0.4294,3.5,zCOSMOS,0,18,25.0,28.0,25.0
149.47308,2.324743,24.019,0.041,23.475,0.036000000000000004,23.124,0.026,23.526,0.032,23.108,0.026,22.97,0.025,22.933000000000003,0.035,22.742,0.102,0.246,0.24,0.26,mag25lim,149.47308180000005,2.324807602,0.2453,4.0,publicSpecZ,0,39,27.0,53.0,27.0
149.47329,2.613931,26.261,0.198,24.991,0.081,23.79300000000001,0.039,24.817,0.067,23.035,0.025,21.911,0.015,21.411,0.013,20.053,0.01,0.6890000000000001,0.68,0.7,mag25lim,149.47331619999997,2.613932423,0.7020000000000001,4.0,publicSpecZ,0,15,24.0,19.0,24.0
149.47396,2.123123,23.6665,0.034,22.9532,0.0268,22.8209,0.0218,23.0957,0.025,22.7393,0.0208,22.4846,0.0189,22.3257,0.0223,22.0418,0.3947,0.04,0.0,0.08,Cosmos2006,149.47400969999995,2.12312726,0.0792,9.0,publicSpecZ,0,23,28.0,28.0,28.0
149.47402,2.0834740000000003,23.1522,0.0259,22.179,0.0185,21.7444,0.0129,22.2375,0.0163,21.6235,0.0122,21.2953,0.0104,21.0971,0.0107,20.639,0.1402,0.14,0.07,0.14,Cosmos2006,149.4740825,2.08345378,0.1357,4.0,publicSpecZ,0,33,34.0,44.0,34.0
149.47406,2.300235,23.548,0.032,23.239,0.032,23.146,0.027000000000000003,23.396,0.03,22.89,0.023,22.463,0.019,22.401,0.024,21.868,0.047,0.6559999999999999,0.65,0.67,mag25lim,149.47407969999998,2.300210482,0.6895,4.0,publicSpecZ,0,13,15.0,21.0,15.0
149.47458,2.229765,23.786,0.036000000000000004,22.371,0.021,21.364,0.011,22.276,0.017,20.718000000000004,0.01,20.321,0.01,19.845,0.01,18.906,0.01,0.404,0.39,0.41,mag25lim,149.47460900000004,2.229766223,0.4115,3.0,publicSpecZ,0,13,15.0,21.0,15.0
149.47462,1.831446,24.9457,0.0818,23.504,0.035,22.3705,0.0174,23.2633,0.0268,21.5006,0.0115,20.6895,0.0078,20.1042,0.0063,18.9347,0.0342,0.53,0.46,0.58,Cosmos2006,149.4746465,1.831424553,0.5971,4.0,publicSpecZ,0,14,15.0,21.0,15.0
149.47486999999995,1.958303,21.596,0.013,20.261,0.01,19.374,0.01,20.091,0.01,19.034,0.01,18.45,0.01,17.97,0.01,16.648,0.01,0.104,0.09,0.11,mag25lim,149.47489209999995,1.958322431,0.1097,22.0,publicSpecZ,0,35,32.0,49.0,32.0
149.47486999999995,2.141205,23.311,0.028,22.861,0.027000000000000003,22.296,0.017,22.937,0.024,22.038,0.015,21.803,0.014,21.579,0.014,21.069000000000006,0.02,0.395,0.38,0.41,mag25lim,149.47488909999996,2.14117957,0.3996,2.0,publicSpecZ,0,35,35.0,63.0,35.0
149.47512,2.196848,23.8062,0.0366,23.4113,0.0335,23.2326,0.0269,23.5655,0.0317,23.1046,0.0248,22.637,0.0205,22.1666,0.0204,21.3763,0.2535,1.04,0.96,1.17,Cosmos2006,149.4751225,2.196833002,1.1685,9.0,publicSpecZ,0,54,57.0,60.0,57.0
149.47524,2.132423,23.619,0.033,22.964,0.028,22.468000000000004,0.019,22.998,0.025,21.878,0.014,21.081,0.01,20.685,0.01,19.405,0.01,0.6609999999999999,0.65,0.67,mag25lim,149.4752791,2.132392484,0.6549,3.0,publicSpecZ,0,26,29.0,42.0,29.0
149.47565,2.402809,23.82,0.038,22.965,0.028,22.72,0.022,23.065,0.026,22.75,0.021,22.525,0.02,22.402,0.024,22.392,0.081,0.122,0.11,0.14,mag25lim,149.47569860000004,2.402788336,0.1259,3.0,publicSpecZ,0,36,42.0,44.0,42.0
149.47572,1.7655880000000002,23.5988,0.0346,22.9103,0.0265,22.1378,0.0157,22.89,0.0223,21.6689,0.0126,21.2355,0.0102,20.8562,0.0093,19.9823,0.0586,0.39,0.29,0.45,Cosmos2006,149.4757595,1.765560187,0.3948,3.0,publicSpecZ,0,17,19.0,28.0,19.0
